id,terrestrial_date,sol,ls,month,min_temp,pressure,year_month,year_month_ls,terrestrial_days
1895,2018-02-27,1977,135,5,-77.0,727.0,2018-02-135,2018-02-135,2021
1893,2018-02-26,1976,135,5,-77.0,728.0,2018-02-135,2018-02-135,2020
1894,2018-02-25,1975,134,5,-76.0,729.0,2018-02-134,2018-02-134,2019
1892,2018-02-24,1974,134,5,-77.0,729.0,2018-02-134,2018-02-134,2018
1889,2018-02-23,1973,133,5,-78.0,730.0,2018-02-133,2018-02-133,2017
1891,2018-02-22,1972,133,5,-78.0,730.0,2018-02-133,2018-02-133,2016
1890,2018-02-21,1971,132,5,-78.0,731.0,2018-02-132,2018-02-132,2015
1888,2018-02-20,1970,132,5,-77.0,731.0,2018-02-132,2018-02-132,2014
1264,2016-05-08,1335,149,5,-77.0,732.0,2016-05-149,2016-05-149,1361
1265,2016-05-09,1336,149,5,-75.0,732.0,2016-05-149,2016-05-149,1362
607,2014-06-19,664,147,5,-78.0,732.0,2014-06-147,2014-06-147,672
1887,2018-02-19,1969,131,5,-76.0,732.0,2018-02-131,2018-02-131,2013
1886,2018-02-18,1968,131,5,-76.0,732.0,2018-02-131,2018-02-131,2012
1261,2016-05-07,1334,148,5,-77.0,732.0,2016-05-148,2016-05-148,1360
35,2012-08-19,13,157,6,-74.0,732.0,2012-08-157,2012-08-157,3
1263,2016-05-06,1333,148,5,-76.0,733.0,2016-05-148,2016-05-148,1359
1268,2016-05-12,1339,151,6,-77.0,733.0,2016-05-151,2016-05-151,1365
1273,2016-05-18,1344,153,6,-75.0,734.0,2016-05-153,2016-05-153,1371
1266,2016-05-10,1337,150,6,-76.0,734.0,2016-05-150,2016-05-150,1363
611,2014-06-23,668,150,6,-75.0,734.0,2014-06-150,2014-06-150,676
1260,2016-05-04,1331,147,5,-76.0,734.0,2016-05-147,2016-05-147,1357
1259,2016-05-03,1330,146,5,-78.0,734.0,2016-05-146,2016-05-146,1356
1269,2016-05-13,1340,151,6,-76.0,734.0,2016-05-151,2016-05-151,1366
609,2014-06-18,663,147,5,-77.0,734.0,2014-06-147,2014-06-147,671
1262,2016-05-05,1332,147,5,-78.0,734.0,2016-05-147,2016-05-147,1358
1267,2016-05-11,1338,150,6,-75.0,734.0,2016-05-150,2016-05-150,1364
1885,2018-02-17,1967,130,5,-76.0,734.0,2018-02-130,2018-02-130,2011
1258,2016-05-02,1329,146,5,-74.0,735.0,2016-05-146,2016-05-146,1355
1275,2016-05-22,1348,156,6,-76.0,735.0,2016-05-156,2016-05-156,1375
613,2014-06-24,669,150,6,-84.0,735.0,2014-06-150,2014-06-150,677
601,2014-06-15,660,145,5,-78.0,735.0,2014-06-145,2014-06-145,668
1276,2016-05-19,1345,154,6,-75.0,735.0,2016-05-154,2016-05-154,1372
1257,2016-05-01,1328,145,5,-77.0,735.0,2016-05-145,2016-05-145,1354
604,2014-06-16,661,146,5,-76.0,735.0,2014-06-146,2014-06-146,669
605,2014-06-17,662,146,5,-77.0,735.0,2014-06-146,2014-06-146,670
1272,2016-05-17,1343,153,6,-74.0,735.0,2016-05-153,2016-05-153,1370
1271,2016-05-15,1342,152,6,-80.0,735.0,2016-05-152,2016-05-152,1368
1270,2016-05-14,1341,152,6,-76.0,735.0,2016-05-152,2016-05-152,1367
1884,2018-02-16,1966,130,5,-77.0,735.0,2018-02-130,2018-02-130,2010
610,2014-06-20,665,148,5,-78.0,735.0,2014-06-148,2014-06-148,673
1883,2018-02-15,1965,129,5,-76.0,735.0,2018-02-129,2018-02-129,2009
